Node1,Effect,Node2,Type
Node1,-1,Node87,none
Node1,-1,Node89,none
Node1,1,Node92,none
Node1,-1,Node96,none
Node1,-1,Node99,none
Node1,1,Node103,none
Node1,-1,Node114,none
Node1,-1,Node127,none
Node1,-1,Node129,none
Node1,1,Node131,none
Node1,1,Node150,none
Node1,1,Node158,none
Node1,1,Node194,none
Node1,-1,Node200,none
Node1,1,Node218,none
Node1,1,Node222,none
Node1,1,Node232,none
Node1,-1,Node244,none
Node1,-1,Node264,none
Node1,-1,Node265,none
Node1,-1,Node273,none
Node1,-1,Node288,none
Node1,1,Node309,none
Node1,1,Node316,none
Node1,-1,Node329,none
Node1,1,Node334,none
Node1,1,Node347,none
Node1,1,Node379,none
Node1,1,Node383,none
Node1,-1,Node387,none
Node1,1,Node396,none
Node1,1,Node400,none
Node1,-1,Node401,none
Node1,-1,Node410,none
Node1,1,Node446,none
Node1,-1,Node450,none
Node1,-1,Node459,none
Node1,-1,Node488,none
Node1,-1,Node495,none
Node1,-1,Node518,none
Node1,1,Node533,none
Node1,1,Node534,none
Node1,-1,Node559,none
Node1,1,Node561,none
Node1,-1,Node567,none
Node1,-1,Node581,none
Node1,-1,Node597,none
Node1,1,Node604,none
Node1,-1,Node606,none
Node1,1,Node608,none
Node1,-1,Node621,none
Node1,-1,Node645,source
Node1,1,Node663,none
Node1,1,Node674,none
Node1,-1,Node678,none
Node1,1,Node685,none
Node1,1,Node691,none
Node1,1,Node717,none
Node1,-1,Node718,none
Node1,1,Node725,none
Node1,1,Node726,none
Node1,1,Node728,none
Node1,-1,Node737,none
Node1,-1,Node739,none
Node1,-1,Node743,none
Node1,1,Node752,none
Node1,-1,Node757,none
Node1,1,Node758,none
Node1,1,Node774,none
Node1,-1,Node787,none
Node1,-1,Node791,none
Node1,1,Node794,none
Node1,1,Node803,none
Node1,1,Node807,none
Node1,1,Node818,none
Node1,-1,Node819,none
Node1,1,Node820,none
Node1,1,Node826,none
Node1,1,Node833,none
Node1,1,Node839,none
Node1,1,Node847,none
Node1,-1,Node867,none
Node1,-1,Node871,none
Node1,1,Node898,none
Node1,-1,Node899,none
Node1,1,Node900,none
Node1,1,Node908,none
Node1,-1,Node918,none
Node1,1,Node931,none
Node1,1,Node935,none
Node1,1,Node947,none
Node1,-1,Node957,none
Node1,1,Node962,none
Node1,1,Node989,none
Node1,1,Node993,none
Node2,1,Node16,none
Node2,1,Node24,none
Node2,-1,Node33,none
Node2,1,Node38,target
Node2,-1,Node39,none
Node2,1,Node45,none
Node2,-1,Node53,none
Node2,-1,Node58,none
Node2,1,Node66,none
Node2,1,Node91,none
Node2,-1,Node117,none
Node2,-1,Node119,none
Node2,-1,Node121,none
Node2,1,Node122,none
Node2,-1,Node133,none
Node2,1,Node138,none
Node2,1,Node208,none
Node2,-1,Node209,none
Node2,1,Node213,none
Node2,1,Node244,none
Node2,1,Node251,none
Node2,1,Node294,none
Node2,-1,Node298,none
Node2,1,Node317,none
Node2,-1,Node322,none
Node2,-1,Node324,none
Node2,-1,Node332,none
Node2,1,Node336,none
Node2,-1,Node345,none
Node2,1,Node373,none
Node2,1,Node378,none
Node2,1,Node380,none
Node2,1,Node425,none
Node2,-1,Node437,none
Node2,1,Node440,none
Node2,1,Node441,none
Node2,1,Node454,none
Node2,-1,Node456,none
Node2,1,Node465,none
Node2,1,Node467,none
Node2,1,Node468,none
Node2,1,Node482,none
Node2,-1,Node485,none
Node2,-1,Node489,none
Node2,1,Node514,none
Node2,-1,Node527,none
Node2,-1,Node532,none
Node2,1,Node535,none
Node2,1,Node542,none
Node2,1,Node545,none
Node2,1,Node546,none
Node2,-1,Node555,none
Node2,-1,Node582,none
Node2,-1,Node590,none
Node2,-1,Node597,none
Node2,-1,Node603,none
Node2,1,Node606,none
Node2,-1,Node612,none
Node2,-1,Node646,none
Node2,1,Node655,none
Node2,1,Node666,none
Node2,-1,Node674,none
Node2,-1,Node680,none
Node2,1,Node690,none
Node2,-1,Node707,none
Node2,1,Node709,none
Node2,-1,Node724,none
Node2,-1,Node738,none
Node2,-1,Node740,none
Node2,-1,Node742,none
Node2,-1,Node743,none
Node2,-1,Node750,none
Node2,1,Node755,none
Node2,1,Node764,none
Node2,1,Node769,none
Node2,1,Node778,none
Node2,1,Node795,none
Node2,-1,Node804,none
Node2,1,Node806,none
Node2,1,Node812,none
Node2,1,Node815,none
Node2,1,Node817,none
Node2,1,Node832,none
Node2,-1,Node835,none
Node2,-1,Node838,none
Node2,1,Node845,none
Node2,1,Node856,none
Node2,1,Node858,none
Node2,1,Node859,none
Node2,1,Node873,none
Node2,-1,Node874,none
Node2,-1,Node876,none
Node2,-1,Node880,none
Node2,-1,Node888,none
Node2,-1,Node893,none
Node2,1,Node908,none
Node2,1,Node918,none
Node2,1,Node920,none
Node2,-1,Node968,none
Node2,1,Node976,none
Node2,1,Node991,none
Node3,1,Node16,none
Node3,1,Node30,none
Node3,-1,Node36,none
Node3,-1,Node76,none
Node3,1,Node81,none
Node3,1,Node88,none
Node3,1,Node90,none
Node3,1,Node115,none
Node3,1,Node155,none
Node3,-1,Node160,none
Node3,-1,Node161,none
Node3,-1,Node166,none
Node3,-1,Node176,none
Node3,-1,Node180,none
Node3,-1,Node205,none
Node3,-1,Node208,none
Node3,-1,Node222,none
Node3,-1,Node228,none
Node3,-1,Node239,none
Node3,-1,Node247,none
Node3,1,Node251,none
Node3,1,Node255,none
Node3,1,Node267,none
Node3,1,Node271,none
Node3,1,Node276,none
Node3,1,Node306,none
Node3,-1,Node326,none
Node3,-1,Node341,none
Node3,-1,Node348,none
Node3,1,Node349,none
Node3,1,Node360,none
Node3,-1,Node376,none
Node3,-1,Node387,none
Node3,1,Node400,none
Node3,1,Node435,none
Node3,1,Node453,none
Node3,1,Node456,none
Node3,1,Node475,none
Node3,1,Node481,none
Node3,1,Node486,none
Node3,-1,Node488,none
Node3,-1,Node495,none
Node3,-1,Node512,none
Node3,1,Node513,none
Node3,1,Node515,none
Node3,-1,Node536,none
Node3,-1,Node546,none
Node3,1,Node568,none
Node3,-1,Node580,none
Node3,1,Node584,none
Node3,1,Node590,none
Node3,-1,Node606,none
Node3,1,Node614,none
Node3,-1,Node626,none
Node3,-1,Node645,source
Node3,1,Node651,none
Node3,-1,Node679,none
Node3,1,Node682,none
Node3,-1,Node691,none
Node3,-1,Node702,none
Node3,1,Node710,none
Node3,1,Node711,none
Node3,-1,Node724,none
Node3,1,Node739,none
Node3,1,Node743,none
Node3,1,Node748,none
Node3,1,Node754,none
Node3,-1,Node770,none
Node3,1,Node773,none
Node3,1,Node794,none
Node3,1,Node798,none
Node3,1,Node804,none
Node3,-1,Node814,none
Node3,1,Node821,none
Node3,1,Node826,none
Node3,-1,Node830,none
Node3,1,Node838,none
Node3,-1,Node853,none
Node3,-1,Node856,none
Node3,-1,Node862,none
Node3,-1,Node863,none
Node3,1,Node867,none
Node3,1,Node868,none
Node3,-1,Node893,none
Node3,-1,Node897,none
Node3,1,Node904,none
Node3,-1,Node913,none
Node3,1,Node924,none
Node3,-1,Node935,none
Node3,1,Node950,none
Node3,-1,Node961,none
Node3,1,Node962,none
Node3,-1,Node963,none
Node3,1,Node983,none
Node4,-1,Node23,none
Node4,1,Node28,none
Node4,-1,Node69,none
Node4,1,Node80,none
Node4,-1,Node90,none
Node4,-1,Node95,none
Node4,-1,Node103,none
Node4,1,Node116,none
Node4,1,Node117,none
Node4,1,Node119,none
Node4,-1,Node130,none
Node4,1,Node131,none
Node4,-1,Node157,none
Node4,-1,Node192,none
Node4,1,Node202,none
Node4,-1,Node218,none
Node4,-1,Node228,none
Node4,-1,Node244,none
Node4,-1,Node249,none
Node4,-1,Node251,none
Node4,1,Node257,none
Node4,-1,Node271,none
Node4,1,Node274,none
Node4,-1,Node286,none
Node4,1,Node309,none
Node4,-1,Node320,none
Node4,1,Node333,none
Node4,-1,Node334,none
Node4,-1,Node351,none
Node4,-1,Node354,none
Node4,-1,Node359,none
Node4,1,Node362,none
Node4,-1,Node375,none
Node4,-1,Node406,none
Node4,1,Node408,none
Node4,1,Node431,none
Node4,1,Node444,none
Node4,-1,Node446,none
Node4,1,Node463,none
Node4,-1,Node466,none
Node4,1,Node482,none
Node4,-1,Node490,none
Node4,1,Node509,none
Node4,1,Node514,none
Node4,-1,Node518,none
Node4,-1,Node534,none
Node4,1,Node538,none
Node4,-1,Node548,none
Node4,1,Node559,none
Node4,1,Node560,none
Node4,-1,Node561,none
Node4,1,Node567,none
Node4,-1,Node569,none
Node4,1,Node574,none
Node4,1,Node583,none
Node4,-1,Node584,none
Node4,-1,Node587,none
Node4,1,Node601,none
Node4,1,Node605,none
Node4,-1,Node636,none
Node4,-1,Node640,none
Node4,-1,Node662,none
Node4,-1,Node672,none
Node4,1,Node674,none
Node4,1,Node683,none
Node4,1,Node685,none
Node4,-1,Node690,none
Node4,1,Node698,none
Node4,1,Node700,none
Node4,-1,Node715,none
Node4,-1,Node721,none
Node4,1,Node734,none
Node4,-1,Node765,none
Node4,1,Node767,none
Node4,1,Node775,none
Node4,-1,Node791,none
Node4,1,Node793,none
Node4,1,Node818,none
Node4,1,Node820,none
Node4,-1,Node821,none
Node4,1,Node828,none
Node4,1,Node891,none
Node4,-1,Node892,none
Node4,-1,Node896,none
Node4,-1,Node903,none
Node4,1,Node912,none
Node4,1,Node919,none
Node4,-1,Node921,none
Node4,1,Node939,none
Node4,-1,Node943,none
Node4,1,Node949,none
Node4,1,Node958,none
Node4,1,Node960,none
Node4,1,Node966,none
Node4,-1,Node988,none
Node5,1,Node21,none
Node5,-1,Node30,none
Node5,-1,Node34,none
Node5,1,Node38,target
Node5,1,Node52,none
Node5,-1,Node85,none
Node5,-1,Node89,none
Node5,-1,Node108,none
Node5,1,Node112,none
Node5,-1,Node130,none
Node5,1,Node142,none
Node5,-1,Node143,none
Node5,-1,Node145,none
Node5,1,Node146,none
Node5,1,Node167,none
Node5,1,Node174,none
Node5,1,Node182,none
Node5,1,Node197,none
Node5,1,Node204,none
Node5,1,Node217,none
Node5,1,Node222,none
Node5,-1,Node237,none
Node5,1,Node242,none
Node5,-1,Node251,none
Node5,1,Node269,none
Node5,-1,Node300,none
Node5,-1,Node310,none
Node5,1,Node320,none
Node5,-1,Node322,none
Node5,-1,Node350,none
Node5,-1,Node357,none
Node5,1,Node373,none
Node5,1,Node377,none
Node5,1,Node397,none
Node5,1,Node398,none
Node5,1,Node414,none
Node5,-1,Node423,none
Node5,-1,Node434,none
Node5,-1,Node441,none
Node5,-1,Node449,none
Node5,-1,Node450,none
Node5,1,Node461,none
Node5,-1,Node467,none
Node5,-1,Node473,none
Node5,-1,Node482,none
Node5,-1,Node485,none
Node5,-1,Node486,none
Node5,-1,Node501,none
Node5,-1,Node511,none
Node5,1,Node518,none
Node5,-1,Node521,none
Node5,1,Node522,none
Node5,-1,Node535,none
Node5,-1,Node556,none
Node5,-1,Node574,none
Node5,-1,Node577,none
Node5,-1,Node594,none
Node5,1,Node598,none
Node5,-1,Node600,none
Node5,-1,Node607,none
Node5,-1,Node614,none
Node5,-1,Node625,none
Node5,1,Node655,none
Node5,-1,Node671,none
Node5,1,Node683,none
Node5,-1,Node699,none
Node5,1,Node713,none
Node5,-1,Node715,none
Node5,-1,Node730,none
Node5,1,Node731,none
Node5,-1,Node732,none
Node5,-1,Node736,none
Node5,1,Node739,none
Node5,-1,Node744,none
Node5,1,Node755,none
Node5,1,Node764,none
Node5,1,Node817,none
Node5,-1,Node818,none
Node5,-1,Node823,none
Node5,1,Node825,none
Node5,-1,Node831,none
Node5,-1,Node837,none
Node5,-1,Node839,none
Node5,1,Node857,none
Node5,1,Node865,none
Node5,-1,Node868,none
Node5,-1,Node879,none
Node5,-1,Node882,none
Node5,-1,Node901,none
Node5,1,Node920,none
Node5,-1,Node928,none
Node5,1,Node931,none
Node5,-1,Node943,none
Node5,1,Node948,none
Node5,-1,Node961,none
Node5,-1,Node975,none
Node5,1,Node980,none
Node5,1,Node986,none
Node5,1,Node989,none
Node6,-1,Node14,none
Node6,1,Node18,none
Node6,1,Node20,none
Node6,-1,Node41,none
Node6,-1,Node42,none
Node6,1,Node43,none
Node6,1,Node47,none
Node6,1,Node66,none
Node6,1,Node80,none
Node6,1,Node98,source
Node6,1,Node99,none
Node6,1,Node107,none
Node6,1,Node115,none
Node6,-1,Node124,none
Node6,-1,Node131,none
Node6,1,Node153,none
Node6,1,Node156,none
Node6,1,Node169,none
Node6,-1,Node184,none
Node6,-1,Node226,none
Node6,-1,Node234,none
Node6,-1,Node269,none
Node6,-1,Node281,none
Node6,1,Node283,none
Node6,-1,Node293,none
Node6,1,Node304,none
Node6,-1,Node327,none
Node6,-1,Node336,none
Node6,1,Node345,none
Node6,-1,Node346,none
Node6,-1,Node352,none
Node6,1,Node366,none
Node6,1,Node374,none
Node6,-1,Node393,none
Node6,1,Node395,none
Node6,-1,Node404,none
Node6,1,Node427,none
Node6,1,Node428,none
Node6,1,Node439,none
Node6,-1,Node453,none
Node6,1,Node466,none
Node6,-1,Node467,none
Node6,-1,Node477,none
Node6,-1,Node494,none
Node6,-1,Node500,none
Node6,-1,Node507,none
Node6,-1,Node511,none
Node6,1,Node518,none
Node6,-1,Node519,none
Node6,-1,Node561,none
Node6,-1,Node565,none
Node6,1,Node573,none
Node6,1,Node574,none
Node6,1,Node580,none
Node6,-1,Node596,none
Node6,1,Node629,none
Node6,-1,Node633,none
Node6,1,Node644,none
Node6,-1,Node650,none
Node6,-1,Node651,none
Node6,1,Node670,none
Node6,1,Node671,none
Node6,1,Node672,none
Node6,-1,Node679,none
Node6,-1,Node697,none
Node6,-1,Node713,none
Node6,-1,Node714,none
Node6,-1,Node738,none
Node6,-1,Node750,none
Node6,-1,Node756,none
Node6,1,Node765,none
Node6,-1,Node775,none
Node6,1,Node787,none
Node6,-1,Node793,none
Node6,-1,Node794,none
Node6,-1,Node806,none
Node6,1,Node813,none
Node6,1,Node815,none
Node6,-1,Node816,none
Node6,-1,Node822,none
Node6,1,Node834,none
Node6,-1,Node842,none
Node6,-1,Node848,none
Node6,-1,Node852,none
Node6,-1,Node853,none
Node6,-1,Node879,none
Node6,1,Node891,none
Node6,-1,Node905,none
Node6,-1,Node917,none
Node6,1,Node945,none
Node6,-1,Node957,none
Node6,-1,Node969,none
Node6,-1,Node972,none
Node6,-1,Node974,none
Node6,-1,Node988,none
Node6,1,Node995,none
Node7,1,Node20,none
Node7,1,Node21,none
Node7,1,Node31,none
Node7,-1,Node39,none
Node7,1,Node47,none
Node7,1,Node51,none
Node7,-1,Node55,none
Node7,-1,Node57,none
Node7,-1,Node64,none
Node7,-1,Node80,none
Node7,-1,Node91,none
Node7,-1,Node103,none
Node7,-1,Node117,none
Node7,1,Node127,none
Node7,-1,Node132,none
Node7,1,Node147,none
Node7,1,Node182,none
Node7,1,Node188,none
Node7,1,Node193,none
Node7,1,Node209,none
Node7,-1,Node222,none
Node7,1,Node224,none
Node7,1,Node241,none
Node7,-1,Node248,none
Node7,1,Node276,none
Node7,-1,Node280,none
Node7,1,Node284,none
Node7,-1,Node290,none
Node7,-1,Node300,none
Node7,1,Node302,none
Node7,1,Node305,none
Node7,1,Node312,none
Node7,-1,Node329,none
Node7,-1,Node332,none
Node7,1,Node334,none
Node7,1,Node339,none
Node7,-1,Node354,none
Node7,1,Node359,none
Node7,-1,Node362,none
Node7,-1,Node363,none
Node7,1,Node364,none
Node7,1,Node373,none
Node7,1,Node377,none
Node7,1,Node391,none
Node7,1,Node402,none
Node7,1,Node411,none
Node7,1,Node427,none
Node7,-1,Node437,none
Node7,1,Node439,none
Node7,1,Node452,none
Node7,1,Node453,none
Node7,1,Node458,none
Node7,1,Node473,none
Node7,-1,Node492,none
Node7,-1,Node499,none
Node7,-1,Node510,none
Node7,1,Node512,none
Node7,-1,Node517,none
Node7,-1,Node518,none
Node7,-1,Node520,none
Node7,-1,Node528,none
Node7,-1,Node532,none
Node7,1,Node534,none
Node7,1,Node535,none
Node7,-1,Node536,none
Node7,-1,Node545,none
Node7,-1,Node547,none
Node7,-1,Node562,none
Node7,1,Node603,none
Node7,-1,Node615,none
Node7,-1,Node625,none
Node7,-1,Node628,none
Node7,-1,Node632,none
Node7,-1,Node655,none
Node7,1,Node657,none
Node7,-1,Node664,none
Node7,1,Node671,none
Node7,-1,Node685,none
Node7,-1,Node694,none
Node7,-1,Node703,none
Node7,-1,Node710,none
Node7,1,Node720,none
Node7,-1,Node726,none
Node7,-1,Node729,none
Node7,1,Node731,none
Node7,-1,Node734,none
Node7,1,Node735,none
Node7,-1,Node739,none
Node7,-1,Node740,none
Node7,1,Node745,none
Node7,-1,Node758,none
Node7,1,Node765,none
Node7,1,Node766,none
Node7,1,Node774,none
Node7,-1,Node777,none
Node7,1,Node798,none
Node7,-1,Node806,none
Node7,-1,Node812,none
Node7,1,Node813,none
Node7,-1,Node833,none
Node7,-1,Node843,none
Node7,-1,Node844,none
Node7,-1,Node855,none
Node7,-1,Node880,none
Node7,-1,Node893,none
Node7,-1,Node900,none
Node7,1,Node901,none
Node7,1,Node903,none
Node7,-1,Node919,none
Node7,-1,Node924,none
Node7,1,Node933,none
Node7,1,Node935,none
Node7,1,Node956,none
Node7,1,Node978,none
Node7,1,Node989,none
Node7,-1,Node991,none
Node7,-1,Node995,none
Node7,1,Node997,none
Node8,1,Node21,none
Node8,1,Node36,none
Node8,-1,Node41,none
Node8,1,Node43,none
Node8,-1,Node51,none
Node8,1,Node54,none
Node8,1,Node82,none
Node8,-1,Node83,none
Node8,1,Node90,none
Node8,1,Node106,none
Node8,-1,Node108,none
Node8,-1,Node115,none
Node8,1,Node117,none
Node8,-1,Node144,none
Node8,1,Node161,none
Node8,1,Node185,none
Node8,-1,Node187,none
Node8,1,Node193,none
Node8,1,Node201,none
Node8,1,Node202,none
Node8,-1,Node205,none
Node8,1,Node208,none
Node8,-1,Node217,none
Node8,-1,Node222,none
Node8,1,Node224,none
Node8,1,Node239,none
Node8,1,Node249,none
Node8,-1,Node263,none
Node8,-1,Node270,none
Node8,1,Node272,none
Node8,1,Node273,none
Node8,-1,Node301,none
Node8,1,Node303,none
Node8,-1,Node313,none
Node8,-1,Node329,none
Node8,-1,Node337,none
Node8,-1,Node338,none
Node8,1,Node340,none
Node8,1,Node368,none
Node8,-1,Node375,none
Node8,1,Node387,none
Node8,1,Node390,none
Node8,-1,Node398,none
Node8,-1,Node417,none
Node8,1,Node423,none
Node8,-1,Node454,none
Node8,-1,Node510,none
Node8,1,Node523,none
Node8,1,Node525,none
Node8,-1,Node532,none
Node8,1,Node537,none
Node8,-1,Node553,none
Node8,1,Node557,none
Node8,1,Node567,none
Node8,1,Node586,none
Node8,1,Node602,none
Node8,-1,Node622,none
Node8,-1,Node645,source
Node8,1,Node651,none
Node8,1,Node654,none
Node8,1,Node671,none
Node8,1,Node696,none
Node8,1,Node705,none
Node8,-1,Node710,none
Node8,-1,Node721,none
Node8,1,Node723,none
Node8,1,Node726,none
Node8,1,Node733,none
Node8,-1,Node742,none
Node8,1,Node743,none
Node8,-1,Node760,none
Node8,-1,Node773,none
Node8,-1,Node779,none
Node8,-1,Node790,none
Node8,-1,Node812,none
Node8,-1,Node825,none
Node8,-1,Node846,none
Node8,1,Node858,none
Node8,1,Node863,none
Node8,1,Node867,none
Node8,-1,Node868,none
Node8,1,Node878,none
Node8,-1,Node885,none
Node8,-1,Node894,none
Node8,1,Node914,none
Node8,-1,Node918,none
Node8,1,Node932,none
Node8,-1,Node943,none
Node8,-1,Node944,none
Node8,-1,Node947,none
Node8,1,Node973,none
Node8,1,Node974,none
Node8,-1,Node978,none
Node8,1,Node981,none
Node8,1,Node984,none
Node8,-1,Node995,none
Node9,-1,Node39,none
Node9,-1,Node45,none
Node9,1,Node49,none
Node9,-1,Node50,none
Node9,-1,Node59,none
Node9,-1,Node61,none
Node9,-1,Node71,none
Node9,-1,Node86,none
Node9,-1,Node115,none
Node9,1,Node116,none
Node9,-1,Node129,none
Node9,-1,Node135,none
Node9,-1,Node138,none
Node9,1,Node140,none
Node9,1,Node149,none
Node9,1,Node160,none
Node9,-1,Node171,none
Node9,1,Node208,none
Node9,1,Node225,none
Node9,-1,Node227,none
Node9,-1,Node235,none
Node9,-1,Node238,none
Node9,1,Node240,none
Node9,1,Node245,none
Node9,1,Node263,none
Node9,-1,Node264,none
Node9,-1,Node269,none
Node9,-1,Node292,none
Node9,1,Node335,none
Node9,1,Node340,none
Node9,-1,Node357,none
Node9,1,Node366,none
Node9,-1,Node372,none
Node9,1,Node380,none
Node9,-1,Node384,none
Node9,1,Node388,none
Node9,-1,Node395,none
Node9,-1,Node400,none
Node9,1,Node416,none
Node9,1,Node420,none
Node9,-1,Node429,none
Node9,1,Node433,none
Node9,1,Node437,none
Node9,-1,Node446,none
Node9,-1,Node451,none
Node9,-1,Node466,none
Node9,-1,Node473,none
Node9,1,Node478,none
Node9,1,Node496,none
Node9,-1,Node503,none
Node9,-1,Node507,none
Node9,1,Node523,none
Node9,-1,Node526,none
Node9,-1,Node540,none
Node9,1,Node546,none
Node9,1,Node552,none
Node9,1,Node567,none
Node9,1,Node568,none
Node9,1,Node571,none
Node9,1,Node582,none
Node9,-1,Node590,none
Node9,-1,Node594,none
Node9,1,Node607,none
Node9,1,Node618,none
Node9,-1,Node620,none
Node9,-1,Node629,none
Node9,1,Node632,none
Node9,-1,Node643,none
Node9,-1,Node650,none
Node9,1,Node653,none
Node9,1,Node665,none
Node9,1,Node670,none
Node9,-1,Node676,none
Node9,1,Node691,none
Node9,-1,Node695,none
Node9,-1,Node720,none
Node9,1,Node730,none
Node9,-1,Node742,none
Node9,1,Node751,none
Node9,-1,Node758,none
Node9,1,Node766,none
Node9,1,Node771,none
Node9,1,Node783,none
Node9,1,Node788,none
Node9,-1,Node792,none
Node9,1,Node797,none
Node9,1,Node812,none
Node9,-1,Node817,none
Node9,1,Node818,none
Node9,-1,Node843,none
Node9,1,Node849,none
Node9,-1,Node854,none
Node9,-1,Node860,none
Node9,-1,Node877,none
Node9,-1,Node879,none
Node9,1,Node916,none
Node9,1,Node917,none
Node9,-1,Node920,none
Node9,-1,Node962,none
Node9,1,Node967,none
Node9,1,Node995,none
Node10,1,Node17,none
Node10,-1,Node31,none
Node10,-1,Node32,none
Node10,-1,Node48,none
Node10,-1,Node64,none
Node10,1,Node65,none
Node10,1,Node70,none
Node10,1,Node71,none
Node10,1,Node78,none
Node10,1,Node102,none
Node10,-1,Node117,none
Node10,-1,Node135,none
Node10,1,Node143,none
Node10,-1,Node146,none
Node10,1,Node149,none
Node10,1,Node156,none
Node10,1,Node160,none
Node10,-1,Node166,none
Node10,-1,Node187,none
Node10,1,Node214,none
Node10,1,Node230,none
Node10,1,Node263,none
Node10,-1,Node271,none
Node10,1,Node274,none
Node10,1,Node295,none
Node10,-1,Node296,none
Node10,1,Node305,none
Node10,1,Node309,none
Node10,-1,Node321,none
Node10,1,Node322,none
Node10,-1,Node324,none
Node10,1,Node330,none
Node10,-1,Node343,none
Node10,-1,Node345,none
Node10,-1,Node362,none
Node10,1,Node368,none
Node10,-1,Node402,none
Node10,1,Node414,none
Node10,-1,Node416,none
Node10,-1,Node418,none
Node10,1,Node422,target
Node10,1,Node435,none
Node10,-1,Node454,none
Node10,1,Node465,none
Node10,1,Node479,none
Node10,1,Node488,none
Node10,-1,Node497,none
Node10,1,Node505,none
Node10,1,Node513,none
Node10,-1,Node514,none
Node10,1,Node518,none
Node10,-1,Node531,none
Node10,-1,Node541,none
Node10,-1,Node545,none
Node10,1,Node554,none
Node10,1,Node568,none
Node10,-1,Node570,none
Node10,1,Node572,none
Node10,-1,Node576,none
Node10,1,Node590,none
Node10,-1,Node591,none
Node10,-1,Node601,none
Node10,-1,Node615,none
Node10,-1,Node662,none
Node10,1,Node689,none
Node10,-1,Node715,none
Node10,1,Node719,none
Node10,1,Node722,none
Node10,-1,Node735,none
Node10,-1,Node753,none
Node10,1,Node757,none
Node10,-1,Node780,none
Node10,1,Node785,none
Node10,1,Node790,none
Node10,-1,Node828,none
Node10,-1,Node831,none
Node10,1,Node833,none
Node10,-1,Node851,none
Node10,1,Node852,none
Node10,-1,Node860,none
Node10,-1,Node870,none
Node10,-1,Node871,none
Node10,-1,Node875,none
Node10,1,Node898,none
Node10,1,Node909,none
Node10,1,Node921,none
Node10,-1,Node925,none
Node10,1,Node932,none
Node10,-1,Node938,none
Node10,-1,Node971,none
Node10,1,Node977,none
Node10,1,Node989,none
Node10,-1,Node999,none
Node11,-1,Node12,none
Node11,-1,Node13,none
Node11,-1,Node14,none
Node11,-1,Node16,none
Node11,-1,Node35,none
Node11,1,Node69,none
Node11,-1,Node72,none
Node11,1,Node73,none
Node11,-1,Node85,none
Node11,1,Node93,none
Node11,1,Node96,none
Node11,1,Node102,none
Node11,-1,Node103,none
Node11,-1,Node114,none
Node11,-1,Node121,none
Node11,-1,Node136,none
Node11,-1,Node147,none
